timestamp,temp,humidity
2024-11-06 18:28:03, ['23.36', '62.00']
2024-11-06 18:29:03, ['23.39', '61.00']
2024-11-06 18:30:03, ['23.11', '62.00']
2024-11-06 18:31:04, ['23.28', '62.00']
2024-11-06 18:32:00, ['23.39', '61.00']
2024-11-06 18:33:00, ['23.36', '61.00']
2024-11-06 18:34:00, ['23.37', '62.00']
2024-11-06 18:35:00, ['23.13', '62.00']
2024-11-06 18:36:00, ['23.39', '62.00']
2024-11-06 18:37:01, ['23.36', '62.00']
2024-11-06 18:38:02, ['23.39', '62.00']
2024-11-06 18:39:02, ['23.39', '62.00']
2024-11-06 18:40:02, ['23.39', '62.00']
2024-11-06 18:41:03, ['23.39', '62.00']
2024-11-06 18:42:03, ['23.39', '62.00']
2024-11-06 18:43:03, ['23.39', '62.00']
2024-11-06 18:44:04, ['23.39', '62.00']
2024-11-06 18:45:04, ['23.39', '62.00']
2024-11-06 18:46:04, ['23.39', '62.00']
2024-11-06 18:47:00, ['23.39', '62.00']
2024-11-06 18:48:01, ['23.39', '62.00']
2024-11-06 18:49:01, ['23.39', '62.00']
2024-11-06 18:50:01, ['23.42', '62.00']
2024-11-06 18:51:01, ['23.39', '62.00']
2024-11-06 18:52:02, ['23.39', '62.00']
2024-11-06 18:53:02, ['23.39', '62.00']
2024-11-06 18:54:03, ['23.39', '62.00']
2024-11-06 18:55:03, ['23.39', '62.00']
2024-11-06 18:56:03, ['23.39', '62.00']
2024-11-06 18:57:04, ['23.41', '63.00']
2024-11-06 18:58:04, ['23.50', '62.00']
2024-11-06 18:59:04, ['23.47', '62.00']
2024-11-06 19:00:04, ['23.70', '62.00']
2024-11-06 19:01:00, ['23.70', '62.00']
2024-11-06 19:02:01, ['23.39', '62.00']
2024-11-06 19:03:01, ['23.31', '62.00']
2024-11-06 19:04:01, ['23.13', '63.00']
2024-11-06 19:05:01, ['23.20', '63.00']
2024-11-06 19:06:02, ['23.23', '63.00']
2024-11-06 19:07:03, ['23.27', '63.00']
2024-11-06 19:08:03, ['23.39', '63.00']
2024-11-06 19:09:04, ['23.39', '63.00']
2024-11-06 19:10:04, ['23.39', '63.00']
2024-11-06 19:11:04, ['23.39', '63.00']
2024-11-06 19:12:00, ['23.39', '63.00']
2024-11-06 19:13:01, ['23.39', '63.00']
2024-11-06 19:14:01, ['23.39', '63.00']
2024-11-06 19:15:01, ['23.39', '62.00']
2024-11-06 19:16:02, ['23.39', '63.00']
2024-11-06 19:17:02, ['23.39', '63.00']
2024-11-06 19:18:02, ['23.39', '63.00']
2024-11-06 19:19:03, ['23.39', '63.00']
2024-11-06 19:20:03, ['23.39', '63.00']
2024-11-06 19:21:04, ['23.39', '63.00']
2024-11-06 19:22:00, ['23.41', '63.00']
2024-11-06 19:23:00, ['23.39', '63.00']
2024-11-06 19:24:01, ['23.39', '63.00']
2024-11-06 19:25:01, ['23.41', '63.00']
2024-11-06 19:26:01, ['23.39', '63.00']
2024-11-06 19:27:02, ['23.39', '63.00']
2024-11-06 19:28:02, ['23.39', '63.00']
2024-11-06 19:29:03, ['23.37', '63.00']
2024-11-06 19:30:03, ['23.39', '63.00']
2024-11-06 19:31:04, ['23.39', '63.00']
2024-11-06 19:32:03, ['23.39', '63.00']
2024-11-06 19:33:04, ['23.39', '63.00']
2024-11-06 19:34:04, ['23.39', '63.00']
2024-11-06 19:35:00, ['23.41', '63.00']
2024-11-06 19:36:01, ['23.39', '63.00']
2024-11-06 19:37:01, ['23.39', '63.00']
2024-11-06 19:38:01, ['23.39', '63.00']
2024-11-06 19:39:01, ['23.39', '63.00']
2024-11-06 19:40:02, ['23.39', '63.00']
2024-11-06 19:41:03, ['23.51', '63.00']
2024-11-06 19:42:03, ['23.41', '64.00']
2024-11-06 19:43:03, ['23.39', '64.00']
2024-11-06 19:44:04, ['23.39', '63.00']
